
Tempo:1290018.0346666668
Destinazione	 NEXTHOP	 Costo
1022	1021	26.746003914791405
1000	1021	2.3269933197675856
1021	1021	1.0
1020	1021	116.43486478130818
1041	1021	1072.830614243957
1040	1021	1066.4268280015826
1019	1021	15.25069549043796
1018	1021	8.345812608977546
1017	1021	8.680494176608773
1039	1021	556.9758101267665
1016	1021	10.623369307416182
1038	1021	1013.9473918964163
1037	1021	117.13521019900618
1015	1021	668.3041487150383
1014	1021	3.5839876010596985
1036	1021	1093.0017012699088
1013	1021	2.977917343609522
1035	1021	557.624042007921
1012	1021	11.313734454007074
1034	1021	212.50275849356785
1011	1021	9.612492484547237
1033	1021	1199.4567152174186
1010	1021	153.0276726457898
1031	1021	675.9000050486868
1030	1021	18.180269427063553
1008	1021	12.500115022052809
1007	1021	8.784130744549106
1029	1021	13.538439516122839
1006	1021	496.9719295474824
1028	1021	44.91571287749146
1005	1021	3.71989600250764
1027	1021	13.529025834985008
1004	1021	16.130689330181294
1026	1021	26.790525475892082
1003	1021	8.02325754462753
1025	1021	116.84013736797341
1002	1021	2.4629163677691137
1024	1021	704.3547885840765
1023	1021	12.744992502453966
1001	1021	2.517348504175809
1009	1021	2.707130548318961
=========================

Tempo:1290018.0346666668
Destinazione	 NEXTHOP	 Costo
1022	1021	26.746003914791405
1000	1021	2.3269933197675856
1021	1021	1.0
1020	1042	14.603737072930778
1042	1042	1.0567217135330051
1041	1042	9.816550614652325
1040	1042	13.54322087007407
1019	1021	15.25069549043796
1018	1021	8.345812608977546
1017	1042	6.935613286321056
1039	1042	17.140196927755948
1016	1042	8.550156957654696
1038	1042	8.914790556550342
1037	1042	16.379878953955075
1015	1042	7.253539079692489
1014	1021	3.5839876010596985
1036	1042	63.36729597884962
1013	1021	2.977917343609522
1035	1042	22.173624830743336
1012	1042	10.516752529806295
1034	1042	40.451871778217146
1011	1042	5.075884873644847
1033	1042	25.35366433463616
1010	1042	6.970885784561618
1032	1042	2.195510183481561
1031	1042	377.01604897337666
1030	1021	18.180269427063553
1008	1021	12.500115022052809
1007	1021	8.784130744549106
1029	1042	10.008715765860703
1006	1021	496.9719295474824
1028	1042	14.308965294792552
1005	1021	3.71989600250764
1027	1021	13.529025834985008
1004	1042	14.057476980419805
1026	1021	26.790525475892082
1003	1042	6.593013425273364
1025	1042	15.009009659596005
1002	1021	2.4629163677691137
1024	1042	15.947579183469166
1023	1021	12.744992502453966
1001	1021	2.517348504175809
1009	1021	2.707130548318961
=========================

Tempo:1295018.0346666668
Destinazione	 NEXTHOP	 Costo
1022	1021	26.711556729823883
1000	1021	2.292546134800064
1021	1021	0.9655528150324788
1020	1042	14.603737072930778
1042	1042	1.0567217135330051
1041	1042	9.816550614652325
1040	1042	13.54322087007407
1019	1021	15.21624830547044
1018	1021	8.311365424010024
1017	1042	6.935613286321056
1039	1042	17.140196927755948
1016	1042	8.550156957654696
1038	1042	8.914790556550342
1037	1042	16.379878953955075
1015	1042	7.253539079692489
1014	1021	3.549540416092177
1036	1042	63.36729597884962
1013	1021	2.9434701586420005
1035	1042	22.173624830743336
1012	1042	10.516752529806295
1034	1042	40.451871778217146
1011	1042	5.075884873644847
1033	1042	25.35366433463616
1010	1042	6.970885784561618
1032	1042	2.195510183481561
1031	1042	377.01604897337666
1030	1021	18.14582224209603
1008	1021	12.465667837085288
1007	1021	8.749683559581584
1029	1042	10.008715765860703
1006	1021	496.93748236251486
1028	1042	14.308965294792552
1005	1021	3.685448817540119
1027	1021	13.494578650017488
1004	1042	14.057476980419805
1026	1021	26.75607829092456
1003	1042	6.593013425273364
1025	1042	15.009009659596005
