
Tempo:1560018.0346666668
Destinazione	 NEXTHOP	 Costo
=========================

Tempo:1560018.0346666668
Destinazione	 NEXTHOP	 Costo
1022	1028	80.36613368881737
1021	1028	84.51988627761344
1020	1028	66.1726286916234
1019	1028	68.87082526446392
1018	1028	61.96594238300351
1017	1028	58.504504905013675
1016	1028	60.11904857634731
1015	1028	58.822430698385105
1014	1028	57.20411737508566
1013	1028	56.59804711763548
1012	1028	62.085644148498915
1033	1028	76.92255595332878
1032	1028	77.42871769326092
1031	1028	428.58494059206924
1030	1028	71.8003992010895
1029	1028	61.577607384553325
1028	1028	1.0
1027	1028	67.14915560901096
1026	1028	80.41065524991804
1025	1028	82.08564315640004
1024	1028	67.51647080216179
1023	1028	236.65108255182957
1000	1028	55.94712309379354
1043	1028	101.95318950420526
1042	1028	53.684382011774396
1041	1028	87.90745092049104
1040	1028	65.11211248876668
1039	1028	68.70908854644857
1038	1028	194.21677188685698
1037	1028	67.94877057264769
1036	1028	114.93618759754223
1035	1028	73.74251644943595
1034	1028	92.02076339690976
1011	1028	56.64477649233746
1010	1028	58.539777403254234
1051	1028	87.45129320494475
1050	1028	74.1405910742126
1008	1028	66.12024479607877
1007	1028	61.87792730220807
1006	1028	550.5920593215084
1005	1028	57.3400257765336
1049	1028	73.9205013529652
1004	1028	65.62636859911242
1048	1028	80.44800652008219
1003	1028	5.980255654521565
1047	1028	467.9232962608494
1002	1028	56.08304614179507
1046	1028	167.66747795228105
1001	1028	56.13747827820177
1045	1028	152.56927050870007
1009	1028	56.32726032234492
=========================

Tempo:1560018.0346666668
Destinazione	 NEXTHOP	 Costo
1022	1042	28.364214566312857
1021	1028	84.51988627761344
1020	1042	14.17070956911889
1019	1042	16.868906141959414
1018	1042	9.964023260499
1017	1042	6.502585782509167
1016	1042	8.117129453842807
1015	1042	6.8205115758806
1014	1042	5.202198252581152
1013	1042	4.596127995130974
1012	1042	10.083725025994406
1033	1042	24.92063683082427
1032	1028	77.42871769326092
1031	1042	376.58302146956476
1030	1042	19.798480078585005
1029	1042	9.575688262048814
1028	1028	1.0
1027	1042	15.147236486506461
1026	1042	28.408736127413533
1025	1028	82.08564315640004
1024	1042	15.514551679657277
1023	1042	103.14353791396087
1000	1042	3.9452039712890383
1043	1042	26.46887856138618
1042	1042	1.6824628892698885
1041	1028	87.90745092049104
1040	1042	13.11019336626218
1039	1042	16.70716942394406
1038	1042	132.83491339083065
1037	1042	15.946851450143184
1036	1042	62.93426847503772
1035	1042	21.740597326931447
1034	1042	40.01884427440525
1011	1042	4.6428573698329565
1010	1042	6.537858280749727
1051	1028	87.45129320494475
1050	1028	74.1405910742126
1008	1042	14.118325673574262
1007	1042	9.876008179703563
1006	1042	498.5901401990039
1005	1042	5.338106654029093
1049	1028	73.9205013529652
1004	1042	13.624449476607916
1048	1028	80.44800652008219
1003	1028	5.980255654521565
1047	1028	467.9232962608494
1002	1042	4.081127019290566
1046	1042	134.48634041517226
1001	1042	4.135559155697262
1045	1042	119.38813297159129
1009	1042	4.325341199840413
=========================

Tempo:1560018.0346666668
Destinazione	 NEXTHOP	 Costo
1022	1042	28.364214566312857
1021	1028	84.51988627761344
